QUARTOS,LOCALIZAÇÃO,PREÇO,BANHEIROS
        4         ,"          Santo Antônio, Belo Horizonte        ",    R$ 3.500    /mêscondomínioR$ 800      IPTU      R$ 3.835,        2         
        3         ,"          Santo Antônio, Belo Horizonte        ",    R$ 1.800    /mêscondomínioR$ 250      IPTU      R$ 1.671,        2         
        4         ,"          Santo Agostinho, Belo Horizonte        ",    R$ 6.500    /mêscondomínioR$ 1.050      IPTU      R$ 541,        3         
        3         ,"          Rua dos Timbiras, Funcionários        ",    R$ 2.600    /mêscondomínioR$ 950      IPTU      R$ 311,        3         
        2         ,"          Funcionários, Belo Horizonte        ",    R$ 1.900    /mês     Este imovél está com o aluguel dentro do esperado na região de acordo com os dados da DataZAP+.  condomínioR$ 800      IPTU      R$ 315,        3         
        3         ,"          Floresta, Belo Horizonte        ",    R$ 1.500    /mêscondomínioR$ 388      IPTU      R$ 125,        2         
        3         ,"          Rua Visconde de Taunay, Santa Mônica        ",    R$ 1.550    /mêscondomínioR$ 368      IPTU      R$ 176,        1         
        2         ,"          Rua Visconde de Mauá, Califórnia        ",    R$ 1.250    /mêscondomínioR$ 245,        1         
        2         ,"          Rua Leopoldo Campos Nunes, Manacás        ",    R$ 1.750    /mêscondomínioR$ 330,        2         
        3         ,"          Avenida Senador José Augusto, Buritis        ",    R$ 2.200    /mês     Este imovél está com o aluguel dentro do esperado na região de acordo com os dados da DataZAP+.  condomínioR$ 396      IPTU      R$ 112,        2         
        3         ,"          Rua Castelo de Edimburgo, Castelo        ",    R$ 2.500    /mêscondomínioR$ 466      IPTU      R$ 151,        3         
        3         ,"          Avenida Padre Vieira, Minas Brasil        ",    R$ 2.500    /mêscondomínioR$ 350      IPTU      R$ 208,        3         
        3         ,"          Rua Úrsula Paulino, Cinqüentenário        ",    R$ 1.200    /mêscondomínioR$ 250      IPTU      R$ 32,        1         
        2         ,"          Rua Montes Claros, Anchieta        ",    R$ 2.700    /mêscondomínioR$ 300      IPTU      R$ 280,        2         
        2         ,"          Rua Curitiba, Lourdes        ",    R$ 2.500    /mêscondomínioR$ 901      IPTU      R$ 404,        2         
        3         ,"          Rua Pedro Natalício de Morais, Buritis        ",    R$ 2.490    /mêscondomínioR$ 684      IPTU      R$ 173,        3         
        2         ,"          Avenida Augusto de Lima, Barro Preto        ",    R$ 1.200    /mêscondomínioR$ 300      IPTU      R$ 100,        1         
        2         ,"          Rua Leopoldo Campos Nunes, Manacás        ",    R$ 2.000    /mêscondomínioR$ 359      IPTU      R$ 116,        2         
        3         ,"          Rua Herculano de Freitas, Barroca        ",    R$ 2.000    /mêscondomínioR$ 300      IPTU      R$ 162,        2         
        2         ,"          Castelo, Belo Horizonte        ",    R$ 1.900    /mêscondomínioR$ 330      IPTU      R$ 120,        2         
        4         ,"          Rua Esmeraldo Botelho, Buritis        ",    R$ 4.000    /mêscondomínioR$ 425      IPTU      R$ 157,        2         
        3         ,"          Rua Bernardino de Lima, Gutierrez        ",    R$ 1.500    /mêscondomínioR$ 380      IPTU      R$ 100,        3         
        2         ,"          Rua Industrial José Costa, Nova Granada        ",    R$ 2.000    /mês,        3         
        2         ,"          Rua Simão Irffi, Coração de Jesus        ",    R$ 1.500    /mêscondomínioR$ 314      IPTU      R$ 180,        2         
QUARTOS,LOCALIZAÇÃO,PREÇO,BANHEIROS
        4         ,"          Luxemburgo, Belo Horizonte        ",    R$ 8.000    /mêscondomínioR$ 1.180      IPTU      R$ 1.103,        4         
        1         ,"          Avenida Barão Homem de Melo, Estoril        ",    R$ 1.200    /mêscondomínioR$ 438      IPTU      R$ 128,        8         
        1         ,"          Savassi, Belo Horizonte        ",    R$ 2.200    /mêscondomínioR$ 790      IPTU      R$ 1.541,        1         
        2         ,"          Manacás, Belo Horizonte        ",    R$ 2.000    /mêscondomínioR$ 359      IPTU      R$ 116,        2         
        2         ,"          Castelo, Belo Horizonte        ",    R$ 1.500    /mêscondomínioR$ 380      IPTU      R$ 110,        2         
        2         ,"          Castelo, Belo Horizonte        ",    R$ 1.800    /mêscondomínioR$ 579      IPTU      R$ 105,        1         
        2         ,"          Carmo, Belo Horizonte        ",    R$ 3.100    /mêscondomínioR$ 700      IPTU      R$ 285,        2         
        3         ,"          Rua Lesandro Resende Franco, Camargos        ",    R$ 1.300    /mêscondomínioR$ 350      IPTU      R$ 99,        1         
        2         ,"          Avenida da Sinfonia, Santa Amélia        ",    R$ 1.400    /mêscondomínioR$ 232      IPTU      R$ 115,        1         
        2         ,"          Rua dos Bororós, Santa Mônica        ",    R$ 1.400    /mêscondomínioR$ 401      IPTU      R$ 97,        2         
        1         ,"          Rua São Paulo, Centro        ",    R$ 1.800    /mêscondomínioR$ 520      IPTU      R$ 171,        1         
        3         ,"          Rua São Paulo, Lourdes        ",    R$ 3.850    /mêscondomínioR$ 694      IPTU      R$ 1.165,        3         
        3         ,"          Rua dos Inconfidentes, Funcionários        ",    R$ 3.900    /mêscondomínioR$ 1.106      IPTU      R$ 510,        3         
        3         ,"          Paquetá, Belo Horizonte        ",    R$ 1.600    /mêscondomínioR$ 347      IPTU      R$ 47,        2         
        2         ,"          Castelo, Belo Horizonte        ",    R$ 1.800    /mêscondomínioR$ 550      IPTU      R$ 1.239,        2         
        2         ,"          Dona Clara, Belo Horizonte        ",    R$ 1.600    /mêscondomínioR$ 470,        2         
        2         ,"          Rua Califórnia, Sion        ",    R$ 3.500    /mêscondomínioR$ 560      IPTU      R$ 280,        2         
        2         ,"          Rua Chicago, Sion        ",    R$ 2.350    /mêscondomínioR$ 650      IPTU      R$ 248,        2         
        2         ,"          Rua Leopoldo Campos Nunes, Manacás        ",    R$ 2.000    /mêscondomínioR$ 359      IPTU      R$ 116,        2         
        2         ,"          Santo Agostinho, Belo Horizonte        ",    R$ 3.000    /mêscondomínioR$ 800      IPTU      R$ 230,        2         
        2         ,"          Rua Coronel Antônio Pereira da Silva, Santa Efigênia        ",    R$ 3.500    /mês,        2         
        2         ,"          Rua Simão Irffi, Coração de Jesus        ",    R$ 1.500    /mêscondomínioR$ 314      IPTU      R$ 180,        2         
        2         ,"          Rua Paulo Diniz Carneiro, Buritis        ",    R$ 2.200    /mêscondomínioR$ 500      IPTU      R$ 129,        1         
        2         ,"          Boa Vista, Belo Horizonte        ",    R$ 1.300    /mêscondomínioR$ 166      IPTU      R$ 124,        2         
